Order1	Name1	Latitude	Longitude	Population	Color1	Name2	Latitude2	Longitude2	Population2	Color2	1->2%	Dummy
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	West Of Twin Peaks	37.7373	-122.4589	0.12473	#984EA3	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Bayview	37.73	-122.3855	0.10309	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Bernal Heights	37.7399	-122.4169	0.20043	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Castro	37.7624	-122.4348	0.34092	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Haight	37.7692	-122.4463	0.29559	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Mission	37.7589	-122.4153	0.42583	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Noe	37.7493	-122.433	0.25158	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Parkside	37.7411	-122.4892	0.092271	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Potrero	37.7583	-122.393	0.26353	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	South Of Market	37.7764	-122.3994	0.55316	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Twin Peaks	37.752	-122.45	0.13105	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Western Addition	37.7804	-122.4332	0.41192	#377EB8	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Inner Richmond	37.7802	-122.4652	0.21194	#4DAF4A	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Outer Richmond	37.778	-122.4928	0.18916	#4DAF4A	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Outer Sunset	37.7553	-122.4938	0.12363	#4DAF4A	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Seacliff	37.7841	-122.5009	0.091937	#4DAF4A	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Golden Gate Park	37.7689	-122.4828	0.15941	#4DAF4A	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Chinatown	37.7941	-122.407	0.24273	#F781BF	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Downtown	37.7835	-122.4158	0.44235	#F781BF	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Financial District	37.7915	-122.3988	0.49915	#F781BF	0	1
2	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	Ocean View	37.7178	-122.4622	0.076638	#A65628	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Excelsior	37.7244	-122.421	0.083884	#E41A1C	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Marina	37.8021	-122.4369	0.40364	#FF7F00	0.006697839	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Nob Hill	37.793	-122.416	0.33259	#FF7F00	0.004195013	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	North Beach	37.8045	-122.4076	0.28784	#FF7F00	0.002392363	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Pacific Heights	37.7924	-122.4352	0.33382	#FF7F00	0.004166245	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Presidio Heights	37.7868	-122.4538	0.19965	#FF7F00	0.001088292	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Russian Hill	37.8014	-122.4182	0.34165	#FF7F00	0.005024622	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Visitacion Valley	37.7144	-122.4113	0.064774	#999999	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Diamond Heights	37.7423	-122.4423	0.074148	#984EA3	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Glen Park	37.7378	-122.4316	0.1226	#984EA3	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Inner Sunset	37.7584	-122.4654	0.18995	#984EA3	0.000297246	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Lakeshore	37.7225	-122.4885	0.092602	#984EA3	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Outer Mission	37.7239	-122.4439	0.10242	#984EA3	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	West Of Twin Peaks	37.7373	-122.4589	0.12473	#984EA3	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Bayview	37.73	-122.3855	0.10309	#377EB8	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Bernal Heights	37.7399	-122.4169	0.20043	#377EB8	0.000215744	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Castro	37.7624	-122.4348	0.34092	#377EB8	0.00143829	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Haight	37.7692	-122.4463	0.29559	#377EB8	0.001462271	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Mission	37.7589	-122.4153	0.42583	#377EB8	0.003547764	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Noe	37.7493	-122.433	0.25158	#377EB8	0.000680803	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Parkside	37.7411	-122.4892	0.092271	#377EB8	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Potrero	37.7583	-122.393	0.26353	#377EB8	0.000508198	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	South Of Market	37.7764	-122.3994	0.55316	#377EB8	0.010307564	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Twin Peaks	37.752	-122.45	0.13105	#377EB8	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Western Addition	37.7804	-122.4332	0.41192	#377EB8	0.005532684	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Inner Richmond	37.7802	-122.4652	0.21194	#4DAF4A	0.000949286	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Outer Richmond	37.778	-122.4928	0.18916	#4DAF4A	0.000858196	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Outer Sunset	37.7553	-122.4938	0.12363	#4DAF4A	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Seacliff	37.7841	-122.5009	0.091937	#4DAF4A	0	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Golden Gate Park	37.7689	-122.4828	0.15941	#4DAF4A	0.000354776	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Chinatown	37.7941	-122.407	0.24273	#F781BF	0.001423884	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Downtown	37.7835	-122.4158	0.44235	#F781BF	0.007378417	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Financial District	37.7915	-122.3988	0.49915	#F781BF	0.01249878	1
3	Marina	37.8021	-122.4369	0.40364	#FF7F00	Ocean View	37.7178	-122.4622	0.076638	#A65628	0	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Excelsior	37.7244	-122.421	0.083884	#E41A1C	0	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Crocker Amazon	37.7107	-122.4372	0.058439	#FFFF33	0	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Marina	37.8021	-122.4369	0.40364	#FF7F00	0.002857387	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Nob Hill	37.793	-122.416	0.33259	#FF7F00	0.001030756	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	North Beach	37.8045	-122.4076	0.28784	#FF7F00	0.001021182	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Pacific Heights	37.7924	-122.4352	0.33382	#FF7F00	0.001342413	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Presidio Heights	37.7868	-122.4538	0.19965	#FF7F00	0.000397928	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Russian Hill	37.8014	-122.4182	0.34165	#FF7F00	0.001419097	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Visitacion Valley	37.7144	-122.4113	0.064774	#999999	0	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Diamond Heights	37.7423	-122.4423	0.074148	#984EA3	0	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Glen Park	37.7378	-122.4316	0.1226	#984EA3	0	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Inner Sunset	37.7584	-122.4654	0.18995	#984EA3	0.000244511	1
4	Nob Hill	37.793	-122.416	0.33259	#FF7F00	Lakeshore	37.7225	-122.4885	0.092602	#984EA3	0	1
